DATE;Option Strike 97%;Option Strike 100%;Option Strike 103%;Adj 97% RF;Adj 100% RF;Adj 103% RF;Adj 97% NN;Adj 100% NN;Adj 103% NN
2024-04-05;224,64;59,20;6,15;3,020785776;9,157334634;49,80936668;16,09223586;52,39935051;458,6841133
2024-04-08;195,32;31,48;3,56;3,473340495;17,22348939;86,17430683;18,56749653;90,42565121;795,0683229
2024-04-09;166,00;37,00;0,97;3,765201995;14,67764469;107,382652;19,57587473;84,23862216;1168,898694
2024-04-10;166,39;44,60;2,53;3,906068226;12,06353822;140,3303642;21,61689336;69,20902776;1109,560064
2024-04-11;152,81;40,00;1,25;4,285062635;13,55361904;123,8702795;23,70865984;75,831594;1508,011585
2024-04-12;137,00;45,50;2,00;4,487119738;11,7444482;126,4072898;24,68934348;78,01627791;1114,600327
2024-04-15;163,97;40,03;1,75;3,869342819;20,88427827;143,1185208;22,95711089;93,50127859;1263,442395
2024-04-16;146,23;33,17;1,00;3,7168967;25,1625099;250,2545226;23,47424837;114,0898321;1844,8145
2024-04-17;160,29;22,12;0,56;3,423342388;37,54277546;180,6283078;22,08434314;172,5831765;5264,807839
2024-04-18;174,34;11,06;0,12;2,982274978;74,95224817;431,5621275;21,66590328;201,7897052;24666,02829
2024-04-19;163,50;74,83;19,60;3,887860151;6,97101323;17,6210984;23,05991354;59,54915729;150,78438
2024-04-22;168,68;101,10;49,05;3,880775521;5,270393395;13,16272714;21,52903004;41,38683195;84,89161116
2024-04-23;202,83;80,08;17,40;3,266556268;5,568123754;13,15725984;19,32053362;43,3942485;110,4211134
2024-04-24;194,43;77,00;12,83;3,408871894;5,304587786;13,93730692;19,00288389;42,72587812;150,1216448
2024-04-25;184,35;101,55;24,90;3,579160662;5,237101108;13,19762078;19,34745323;36,09435894;138,7997606
2024-04-26;200,38;69,15;12,67;3,561412259;5,485184642;14,20616389;19,75514601;47,9472081;183,8517752
2024-04-29;169,40;62,10;7,70;4,225947643;7,658320652;15,51931302;22,02718673;53,50448188;252,6326807
2024-04-30;169,40;99,04;32,80;4,159157871;6,61558331;14,48948979;22,27039328;42,68073526;128,264168
2024-05-01;127,92;68,90;9,88;4,174905586;10,82777086;17,90209127;28,53555917;44,3977881;308,1390358
2024-05-02;103,68;61,60;8,65;4,496612075;12,21747078;20,61833885;31,73332303;54,4005732;354,5243996
2024-05-03;147,68;52,09;4,65;4,581415323;14,62393488;38,80140381;25,16412359;67,25486619;583,1369614
2024-05-06;190,79;44,43;1,74;3,581227095;17,29980122;75,01447112;20,79575581;80,93194238;670,525085
2024-05-07;190,79;43,02;1,74;3,585491699;17,88265746;75,02876138;20,78459046;84,44428536;1116,852452
2024-05-08;178,40;41,00;1,20;5,297291742;18,75509298;74,8855841;20,87296702;89,40331059;1623,35525
2024-05-09;166,00;34,20;0,65;5,720984481;22,5883593;82,92610846;22,03400735;108,6842861;1796,650261
2024-05-10;119,42;31,49;0,51;7,964332896;24,56033903;105,7211709;28,94238156;109,1845343;1143,222624
2024-05-13;124,31;32,78;0,45;6,843302363;23,54791153;119,2069037;27,87942878;105,1279292;1269,226613
2024-05-14;129,50;27,80;0,20;6,600082944;27,8885577;128,17027;26,74698482;130,7573405;1521,85021
2024-05-15;157,20;10,60;0,20;5,500386272;58,56496189;129,55049;23,48319518;218,6740245;3841,114428
2024-05-16;170,20;19,88;0,25;4,226919585;24,59803257;103,378552;21,71083285;184,8055405;3076,3265
2024-05-17;185,00;76,30;12,12;3,893343008;6,759047625;59,78646056;21,46553637;48,68316088;256,6804065
2024-05-20;171,05;74,50;13,27;4,863305724;7,339058775;55,00465908;24,5254893;53,81914242;253,4431791
2024-05-21;157,10;74,24;12,19;5,311922524;7,841657893;51,75741617;26,66274825;56,23750855;251,662901
2024-05-22;153,60;69,00;11,10;5,43982911;7,988491712;57,29449622;28,37997939;59,70119217;287,9338165
